"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://beswib.com/ro/contact","1","Contact | Beswib | Beswib - Platformă Legală Transfer Numere Cursă","66","614","Indexable",""
"https://beswib.com/ro/legals/terms","1","Termeni și condiții | Beswib | Beswib - Platformă Legală Transfer Numere Cursă","78","709","Indexable",""
"https://beswib.com/ro/marketplace","1","Marketplace | Cumpără & Vinde Numere | Running, Trail, Triatlon","63","572","Indexable",""
"https://beswib.com/ro/legals/privacy-policy","1","Politica de confidențialitate | Beswib | Beswib - Platformă Legală Transfer Numere Cursă","88","789","Indexable",""
"https://beswib.com/ro/legals/legal-notice","1","Mențiuni legale | Beswib | Beswib - Platformă Legală Transfer Numere Cursă","74","681","Indexable",""
"https://beswib.com/ro/legals/data-deletion","1","Ștergere date | Beswib | Beswib - Platformă Legală Transfer Numere Cursă","72","666","Indexable",""
"https://beswib.com/ko/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 에서 Chamonix-Mont-Blanc, Haute-Savoie | 경주 번호","71","639","Indexable",""
"https://beswib.com/ro/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 în Chamonix-Mont-Blanc, Haute-Savoie | Numere de Cursă","81","752","Indexable",""
"https://beswib.com/ro/events/wkwz84ohf27ariu","1","La Marmotte Granfondo 2026 în Bourg-d'Oisans, Isère | Numere de Cursă","69","647","Indexable",""
"https://beswib.com/ro/events/1pg7681oa6hoy25","1","Marathon International de Lyon 2026 în Lyon, Rhône | Numere de Cursă","68","631","Indexable",""
"https://beswib.com/nl/events/wkwz84ohf27ariu","1","La Marmotte Granfondo 2026 in Bourg-d'Oisans, Isère | Startnummers","66","621","Indexable",""
"https://beswib.com/nl/events/1pg7681oa6hoy25","1","Marathon International de Lyon 2026 in Lyon, Rhône | Startnummers","65","605","Indexable",""
"https://beswib.com/nl/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 in Chamonix-Mont-Blanc, Haute-Savoie | Startnummers","78","726","Indexable",""
"https://beswib.com/fr/events/1pg7681oa6hoy25","1","Marathon International de Lyon 2026 à Lyon, Rhône | Dossards de Course","70","648","Indexable",""
"https://beswib.com/fr/events/wkwz84ohf27ariu","1","La Marmotte Granfondo 2026 à Bourg-d'Oisans, Isère | Dossards de Course","71","664","Indexable",""
"https://beswib.com/fr/events/cezxm647325s155","1","Trail des Templiers 2026 à Millau, Aveyron | Dossards de Course","63","570","Indexable",""
"https://beswib.com/fr/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 à Chamonix-Mont-Blanc, Haute-Savoie | Dossards de Course","83","769","Indexable",""
"https://beswib.com/it/events/wkwz84ohf27ariu","1","La Marmotte Granfondo 2026 a Bourg-d'Oisans, Isère | Pettorali di Gara","70","632","Indexable",""
"https://beswib.com/it/events/1pg7681oa6hoy25","1","Marathon International de Lyon 2026 a Lyon, Rhône | Pettorali di Gara","69","616","Indexable",""
"https://beswib.com/it/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 a Chamonix-Mont-Blanc, Haute-Savoie | Pettorali di Gara","82","737","Indexable",""
"https://beswib.com/es/events/cezxm647325s155","1","Trail des Templiers 2026 en Millau, Aveyron | Dorsales de Carrera","65","580","Indexable",""
"https://beswib.com/es/events/wkwz84ohf27ariu","1","La Marmotte Granfondo 2026 en Bourg-d'Oisans, Isère | Dorsales de Carrera","73","674","Indexable",""
"https://beswib.com/es/events/1pg7681oa6hoy25","1","Marathon International de Lyon 2026 en Lyon, Rhône | Dorsales de Carrera","72","658","Indexable",""
"https://beswib.com/es/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 en Chamonix-Mont-Blanc, Haute-Savoie | Dorsales de Carrera","85","779","Indexable",""
"https://beswib.com/de/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 in Chamonix-Mont-Blanc, Haute-Savoie | Startnummern","78","727","Indexable",""
"https://beswib.com/de/events/wkwz84ohf27ariu","1","La Marmotte Granfondo 2026 in Bourg-d'Oisans, Isère | Startnummern","66","622","Indexable",""
"https://beswib.com/de/events/1pg7681oa6hoy25","1","Marathon International de Lyon 2026 in Lyon, Rhône | Startnummern","65","606","Indexable",""
"https://beswib.com/pt/events/vw36h00n8n6zk7s","1","Ultra Trail des Alpes 2026 em Chamonix-Mont-Blanc, Haute-Savoie | Peitos de Corrida","83","763","Indexable",""
"https://beswib.com/pt/events/1pg7681oa6hoy25","1","Marathon International de Lyon 2026 em Lyon, Rhône | Peitos de Corrida","70","642","Indexable",""
"https://beswib.com/pt/events/wkwz84ohf27ariu","1","La Marmotte Granfondo 2026 em Bourg-d'Oisans, Isère | Peitos de Corrida","71","658","Indexable",""
"https://beswib.com/pt/events/cezxm647325s155","1","Trail des Templiers 2026 em Millau, Aveyron | Peitos de Corrida","63","564","Indexable",""
